,NN,NN.1,NN.2,UU,UU.1,UU.2,pval.UU,padj.UU
SPU_006951,0,0,0,0,0,0,NA,NA
SPU_006952,0,0,0,0,0,0,NA,NA
SPU_006950,0.25008504579568,0.21213598363168,0.300333638363563,0.231388746773197,0.213576952620084,0.215556273739916,0.280961024309069,NA
SPU_001566,0,0,0,0,0,0,NA,NA
SPU_017005,0,0,0,0,0,0,NA,NA
SPU_017006,0.295188544031682,0.276452041000543,0.328055231674674,0.257579672274983,0.280752129958561,0.260999982277701,0.246232667025131,NA
SPU_023431,0,0,0,0,0,0,NA,NA
SPU_016529,3.90675777989433,3.96208203419742,4.02468631960314,3.8781303920297,3.85482884779918,3.78020607606757,0.154074243390579,0.436022347461143
SPU_015348,9.854994034586,9.88691028560667,9.85562863659531,9.94840912487452,9.88045942998551,9.92170360698938,0.45807776383884,0.747035860644638
SPU_014341,7.48589047625745,7.43817485602212,7.3042108480661,7.15889723888201,7.22490745312115,7.12035443085691,0.0142255012850445,0.0912233027753164
SPU_028161,-1.97530850416975,-1.97532654000993,-1.96792602117922,-1.97529337890764,-1.97456418808034,-1.97359753573851,0.879380974083601,NA
SPU_003562,-0.410242407156176,-0.448095259950784,-0.394357309380694,-0.448057410953731,-0.447189216136405,-0.445943554609969,0.28360878367742,NA
SPU_021750,0,0,0,0,0,0,NA,NA
SPU_003563,6.85868665549807,6.68177100658869,7.1327432997166,6.840629416494,6.52490531582011,6.43984490877524,0.028977900926624,0.148732365802515
SPU_003573,-1.01228113797585,-1.04860474626244,-1.04874191890192,-1.03020430574569,-1.04721009360231,-1.04474046410485,0.85811365513632,NA
SPU_006173,0,0,0,0,0,0,NA,NA
SPU_005452,0,0,0,0,0,0,NA,NA
SPU_021011,1.44736453261573,1.46448403039415,1.47634179192054,1.35474529833155,1.35783884705403,1.36226322426007,0.00413051906900668,0.037500339383112
SPU_000748,2.71369895573701,2.59928748134354,2.71765802534439,2.52882125009735,2.52218657269306,2.48833124145231,0.00984146117944089,0.0701676564032881
